Year,Title,Authors,Link
1980,Polyphonic Velocity-Sensitive Keyboard Interface,"McKay, Blair D.; Wills, Barry L.; Carr, Davd W.",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.046/1
1980,A Microcomputer-Based Keyboard Music System,"Steele, Douglas J.; Wills, Barry L.",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.047/1
1980,Music-11 and ST-10: Classic Stochastic Concepts Revisited,"Stickney, Kimball P.",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.048/1
1980,Inexpensive Computer Music Scoring: newly available hardware,"Stickney, Kimball P.",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.049/1
1980,Crystals: Recursive Structures in Computer Music Composition,"Ames, Charles",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.050/1
1980,Towards a Data Base in Musicology: The Computer Processing of the Bridgman File,"Charnassé, Hélène",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.051/1
1980,Computer Applications in Music: A Bibliography,"Davis, Deta S.",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.052/1
1980,Index,—,https://quod.lib.umich.edu/i/icmc/bbp2372.1980.053/1
1981,Tutorials,"Hiller, Lejaren; Beauchamp, James; Dodge, Charles",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.001/1
1981,The Quest for 'Musically Interesting' Structures in Computer Music,"Keane, David",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.002/1
1981,Paths to a Point in a Musical Landscape,"Chadabe, Joel",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.003/1
1981,A Survey of Recent Compositional and Musical Research at IRCAM,"Machover, Tod",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.004/1
1981,Toward a Definition of Computer Music,"Laske, Otto E.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.005/1
1981,Some Remarks on Computer-Assisted Composition,"Mikulska, Malgorzata",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.006/1
1981,Designing an Integrated Environment for the Composer and Teacher,"Albers, Brad",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.007/1
1981,The Eastman School of Music Computer Music Studio,"Schindler, Allan; Brinkman, Alexander",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.008/1
1981,Computer Music at Queen's University,"Pennycook, Bruce W.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.009/1
1981,Sound Color and Filters: The Hybrid Studio Revisited,"Slawson, Wayne",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.010/1
1981,Solving Specific Compositional Problems with MPI,"Tipei, Sever",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.011/1
1981,Algorithms for Harmonic Pitch Structure Generation,"Matthews, Michael",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.012/1
1981,Stochastic Melody Writing Procedures: An Analysis Based Approach,"Meinecke, Jon",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.013/1
1981,"Protocol: Motivation, Design, and Implementation of a Computer-Assisted Composition for Solo Piano","Ames, Charles",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.014/1
1981,Computer Composition of Melodic Deep Structures,"Abel, John F.; Barth, Paul S.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.015/1
1981,Current Problems in Score Input Methods,"McLean, Bruce",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.016/1
1981,An Intuitive Control Structure for the Generation of Computer-Synthesized Musical Sound,"Baczewski, Philip; Scott, Dan W.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.017/1
1981,Data Structures for a Music-11 Preprocessor,"Brinkman, Alexander R.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.018/1
1981,GCOMP: Graphic Control of Mixing and Processing,"Banger, Colin; Pennycook, Bruce",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.019/1
1981,Using Hierarchical Thinking Strategies in Creative Behavior,"Dworak, Paul E.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.020/1
1981,Piano Training System on the Use of a Micro-Computer of the Characteristic Extraction of the Learners' Playing a Fundamental Etude,"Kitagaki, Ikuo; Suetake, Kunihiro",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.021/1
1981,The White Side Program: The Application of Microcomputers to Music Composition Both as a Clerical Tool and as a Generative Device,"Senn, Dan",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.022/1
1981,The Simulation of Three-Dimensional Localization Cues for Headphone Listening,"Kendall, Gary S.; Rodgers, C.A. Puddie",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.023/1
1981,The Lucasfilm Audio Signal Processing Station,"Moorer, James A.",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.024/1
1981,Real-time Console for Live Performance of Computer Music and for Recording Studios,"Snell, John",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.025/1
1981,Microprogramming a Generalized Signal Processor Architecture,"Abbott, Curtis",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.026/1
1981,A Four-Channel Reverberation Network,"Stautner, John; Vercoe, Barry; Puckette, Miller",https://quod.lib.umich.edu/i/icmc/bbp2372.1981.027/1
